Class,True Positives,False Positives,True Negatives,False Negatives
b'Abies alba',1,7,1483,2
b'Abies cephalonica',0,3,1484,6
b'Acacia dealbata',0,4,1489,0
b'Acanthus mollis',0,3,1480,10
b'Acer campestre',0,6,1481,6
b'Acer monspessulanum',0,10,1476,7
b'Acer negundo',0,6,1480,7
b'Acer palmatum',0,8,1480,5
b'Acer platanoides',0,9,1479,5
b'Acer pseudoplatanus',0,7,1481,5
b'Achillea millefolium',0,12,1472,9
b'Achillea ptarmica',0,6,1482,5
b'Aconitum napellus',0,3,1483,7
b'Aesculus hippocastanum',0,6,1482,5
b'Agave americana',0,6,1481,6
b'Agave sisalana',0,4,1482,7
b'Agrimonia eupatoria',0,6,1480,7
b'Ailanthus altissima',0,4,1480,9
b'Albizia julibrissin',0,1,1487,5
b'Alcea rosea',0,11,1477,5
b'Alnus glutinosa',0,5,1482,6
b'Amelanchier ovalis',0,3,1487,3
b'Amorpha fruticosa',0,6,1481,6
b'Anarrhinum bellidifolium',0,6,1482,5
b'Anchusa italica',0,3,1488,2
b'Anemone alpina',0,9,1477,7
b'Anemone coronaria',0,12,1469,12
b'Angelica heterocarpa',0,7,1482,4
b'Angelica sylvestris',0,6,1484,3
b'Anthemis maritima',0,4,1484,5
b'Anthoxanthum odoratum',0,5,1480,8
b'Aphyllanthes monspeliensis',0,3,1487,3
b'Arbutus unedo',0,9,1478,6
b'Arctium lappa',0,6,1481,6
b'Artemisia vulgaris',0,10,1475,8
b'Arundo donax',0,6,1480,7
b'Asparagus acutifolius',0,3,1482,8
b'Asphodelus albus',0,7,1481,5
b'Asphodelus cerasiferus',0,2,1485,6
b'Asphodelus ramosus',0,3,1488,2
b'Asplenium trichomanes',0,4,1482,7
b'Atriplex prostrata',0,7,1481,5
b'Bartsia trixago',0,7,1478,8
b'Bellis perennis',0,5,1483,5
b'Berberis japonica',0,7,1481,5
b'Betula pendula',0,6,1483,4
b'Betula utilis',0,3,1484,6
b'Broussonetia papyrifera',0,5,1483,5
b'Buddleja davidii',0,4,1485,4
b'Bupleurum fruticosum',0,7,1483,3
b'Cakile maritima',0,9,1481,3
b'Calluna vulgaris',1,6,1480,6
b'Carduus nutans',0,2,1485,6
b'Carlina corymbosa',0,7,1479,7
b'Castanea sativa',0,2,1486,5
b'Casuarina cunninghamiana',0,13,1473,7
b'Cedrus atlantica',0,6,1483,4
b'Celtis australis',0,5,1484,4
b'Centaurea decipiens',0,2,1486,5
b'Centranthus ruber',0,7,1482,4
b'Cercis siliquastrum',0,6,1483,4
b'Chamaerops humilis',0,7,1481,5
b'Cichorium intybus',0,5,1482,6
b'Cirsium arvense',0,5,1486,2
b'Cirsium eriophorum',0,9,1477,7
b'Cirsium palustre',0,9,1474,10
b'Clematis vitalba',1,6,1480,6
b'Cornus mas',0,6,1479,8
b'Cornus sanguinea',0,7,1481,5
b'Coronilla varia',0,8,1476,9
b'Corylus avellana',0,3,1484,6
b'Cotinus coggygria',0,7,1482,4
b'Crataegus azarolus',0,7,1478,8
b'Crataegus monogyna',0,7,1478,8
b'Crithmum maritimum',0,9,1478,6
b'Cupressus sempervirens',0,7,1480,6
b'Cyanus segetum',0,8,1480,5
b'Cytisus scoparius',0,8,1478,7
b'Dactylis glomerata',0,7,1479,7
b'Daphne gnidium',0,7,1480,6
b'Digitalis purpurea',0,4,1484,5
b'Diplotaxis erucoides',0,8,1482,3
b'Dipsacus fullonum',0,5,1481,7
b'Dittrichia viscosa',0,8,1483,2
b'Echinops ritro',0,5,1481,7
b'Echium vulgare',0,7,1481,5
b'Epilobium angustifolium',0,2,1485,6
b'Epilobium hirsutum',0,6,1480,7
b'Erica arborea',0,7,1482,4
b'Erica cinerea',0,4,1482,7
b'Erica tetralix',0,7,1478,8
b'Erigeron karvinskianus',1,11,1476,5
b'Erodium foetidum',0,4,1483,6
b'Eryngium bourgatii',0,5,1479,9
b'Eryngium maritimum',0,4,1481,8
b'Euonymus europaeus',0,5,1486,2
b'Eupatorium cannabinum',0,7,1484,2
b'Euphorbia characias',0,7,1477,9
b'Euphorbia dendroides',0,8,1482,3
b'Euphorbia paralias',0,10,1476,7
b'Euphorbia segetalis',0,6,1481,6
b'Fagus sylvatica',0,4,1485,4
b'Ferula communis',0,5,1480,8
b'Fraxinus angustifolia',0,9,1480,4
b'Fraxinus excelsior',0,5,1483,5
b'Fraxinus ornus',0,14,1476,3
b'Galeopsis tetrahit',0,5,1482,6
b'Galium verum',0,5,1481,7
b'Gentiana lutea',0,7,1477,9
b'Ginkgo biloba',0,10,1475,8
b'Gleditsia triacanthos',0,5,1485,3
b'Globularia alypum',0,5,1484,4
b'Globularia repens',0,1,1488,4
b'Hedera helix',0,2,1487,4
b'Heracleum sphondylium',0,10,1479,4
b'Himantoglossum robertianum',0,5,1486,2
b'Hypericum hirsutum',0,8,1481,4
b'Ilex aquifolium',0,6,1482,5
b'Isatis tinctoria',0,7,1476,10
b'Jacobaea maritima',1,7,1481,4
b'Juglans nigra',1,7,1484,1
b'Juniperus communis',0,4,1483,6
b'Juniperus oxycedrus',0,3,1485,5
b'Juniperus phoenicea',0,5,1480,8
b'Laburnum anagyroides',0,6,1483,4
b'Lactuca serriola',0,3,1482,8
b'Larix decidua',0,3,1480,10
b'Laurus nobilis',0,4,1485,4
b'Lavandula stoechas',0,12,1473,8
b'Leucanthemum vulgare',0,6,1480,7
b'Limoniastrum monopetalum',0,4,1487,2
b'Limonium narbonense',0,8,1479,6
b'Limonium vulgare',0,6,1481,6
b'Lippia triphylla',0,6,1486,1
b'Liquidambar styraciflua',0,5,1477,11
b'Liriodendron tulipifera',0,6,1483,4
b'Lithodora fruticosa',0,10,1478,5
b'Lonicera etrusca',1,5,1481,6
b'Luzula campestris',0,6,1481,6
b'Lycopus europaeus',0,14,1475,4
b'Lysimachia vulgaris',0,1,1486,6
b'Lythrum salicaria',0,8,1478,7
b'Magnolia grandiflora',0,5,1482,6
b'Malva arborea',0,6,1483,4
b'Malva setigera',0,7,1481,5
b'Medicago arborea',0,6,1484,3
b'Melia azedarach',0,5,1480,8
b'Melilotus albus',0,6,1482,5
b'Mentha longifolia',0,3,1486,4
b'Mentha suaveolens',0,7,1480,6
b'Myosotis alpestris',0,12,1480,1
b'Myrtus communis',0,5,1482,6
b'Nerium oleander',0,8,1478,7
b'Nigella damascena',0,7,1480,6
b'Odontites luteus',0,5,1483,5
b'Oenothera biennis',0,7,1477,9
b'Olea europaea',0,1,1486,6
b'Onopordum acanthium',0,5,1477,11
b'Opuntia ficus-indica',0,7,1482,4
b'Orchis purpurea',0,9,1477,7
b'Osmunda regalis',0,5,1479,9
b'Paliurus spina-christi',0,9,1479,5
b'Pardoglossum cheirifolium',0,10,1476,7
b'Phacelia tanacetifolia',0,10,1477,6
b'Phillyrea angustifolia',0,6,1481,6
b'Phyteuma spicatum',0,4,1480,9
b'Pilosella aurantiaca',0,5,1479,9
b'Pinus brutia',0,5,1481,7
b'Pinus cembra',0,5,1485,3
b'Pinus halepensis',0,7,1480,6
b'Pinus mugo',0,4,1483,6
b'Pinus nigra',0,9,1481,3
b'Pinus pinaster',0,3,1482,8
b'Pinus pinea',0,5,1477,11
b'Pinus sylvestris',0,5,1483,5
b'Pistacia lentiscus',0,3,1482,8
b'Pistacia terebinthus',0,6,1481,6
b'Plantago maritima',0,6,1480,7
b'Platanus orientalis',0,6,1482,5
b'Platanus x',0,5,1484,4
b'Polystichum setiferum',0,8,1480,5
b'Populus alba',0,3,1483,7
b'Populus nigra',0,7,1477,9
b'Populus tremula',0,5,1484,4
b'Populus trichocarpa',0,7,1483,3
b'Prunus avium',0,4,1477,12
b'Prunus cerasifera',0,7,1477,9
b'Prunus dulcis',0,7,1479,7
b'Prunus laurocerasus',0,5,1483,5
b'Prunus padus',0,5,1479,9
b'Prunus serrulata',0,3,1483,7
b'Prunus spinosa',0,2,1485,6
b'Pteridium aquilinum',0,6,1478,9
b'Pterocarya fraxinifolia',0,2,1486,5
b'Quercus cerris',0,8,1476,9
b'Quercus coccifera',0,8,1480,5
b'Quercus ilex',0,8,1478,7
b'Quercus petraea',0,5,1481,7
b'Quercus pubescens',0,4,1482,7
b'Quercus robur',0,2,1486,5
b'Quercus suber',0,6,1481,6
b'Reseda lutea',0,7,1478,8
b'Rhamnus pumila',0,7,1481,5
b'Rhus coriaria',0,9,1477,7
b'Rhus typhina',0,7,1481,5
b'Robinia pseudoacacia',0,4,1480,9
b'Rosa canina',0,4,1480,9
b'Rosmarinus officinalis',0,5,1480,8
b'Rumex crispus',0,4,1481,8
b'Salix alba',0,2,1489,2
b'Salix babylonica',0,4,1483,6
b'Salix caprea',0,8,1479,6
b'Sambucus ebulus',0,6,1482,5
b'Sambucus nigra',0,7,1479,7
b'Satureja montana',0,5,1482,6
b'Scolymus hispanicus',0,4,1483,6
b'Sedum album',0,10,1479,4
b'Sedum rupestre',0,3,1482,8
b'Senecio vulgaris',0,6,1480,7
b'Solidago virgaurea',0,2,1484,7
b'Sonchus asper',0,9,1479,5
b'Sophora japonica',0,6,1482,5
b'Sorbus aria',0,4,1485,4
b'Sorbus aucuparia',0,5,1483,5
b'Sorbus domestica',0,6,1481,6
b'Spartium junceum',0,5,1482,6
b'Spergula arvensis',0,7,1481,5
b'Stellaria holostea',1,9,1475,8
b'Syringa vulgaris',0,7,1477,9
b'Teucrium flavum',0,2,1484,7
b'Thalictrum aquilegiifolium',0,4,1480,9
b'Thymus serpyllum',0,1,1484,8
b'Thymus vulgaris',0,4,1484,5
b'Tilia cordata',0,8,1478,7
b'Tilia dasystyla',0,7,1482,4
b'Tilia platyphyllos',0,8,1478,7
b'Trifolium incarnatum',0,5,1484,4
b'Tripolium pannonicum',0,7,1478,8
b'Ulex europaeus',0,10,1478,5
b'Ulmus minor',0,5,1483,5
b'Urtica dioica',0,8,1479,6
b'Valeriana officinalis',0,5,1477,11
b'Verbascum pulverulentum',0,2,1487,4
b'Viburnum rhytidophyllum',0,4,1482,7
b'Viburnum tinus',0,4,1487,2
b'Vicia cracca',0,8,1483,2
b'Viscum album',0,5,1477,11
b'Vitex agnus-castus',1,6,1479,7
b'Vitis vinifera',0,0,1485,8
b'Wisteria sinensis',0,7,1480,6
